"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"29462",44,"F","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",20,74.54,17451.05,6,546.13,"No","Yes","Yes","No Information Available","Poor Customer Service","5",280,465
"29466",19,"F","Village","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,1271.74320708907,19997.93,5,786.44,"Yes","No","Yes","Unsolved","Poor Customer Service","3",437,203
"29467",10,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",7,525.22,53725.34,19,1121.10855600295,"No","Yes","No","Not Applicable","Products always in Stock","1",989,155
"29468",55,"F","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",8,226.81,26792.69,26,619.1,"Yes","No","No","Not Applicable","Too many ads","5",515,184
"29478",23,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",16,39.62,44122.63,29,784.59,"No","Yes","No","Not Applicable","Poor Customer Service","3",144,363
"29480",37,"F","Village","Gold Membership","No","Gift Vouchers/Coupons","Both","Wi-Fi",20,221.64,28696.29,10,693.55,"Yes","Yes","No","Not Applicable","Too many ads","4",322,462
"29484",14,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",9,72.03,16481.7,24,747.46,"Yes","No","Yes","Solved","No reason specified","3",664,213
"29486",46,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",11,61.78,32904.32,24,718.8,"Yes","No","Yes","Solved in Follow-up","Poor Website","4",200,263
"29488",36,"F","City","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",11,87.42,34666.2,8,700.17,"Yes","No","Yes","Unsolved","No reason specified","3",142,252
"29492",22,"M","Town","Premium Membership","No","Without Offers","Smartphone","Mobile_Data",12,255.13,27291.9,13,722.53,"Yes","No","Yes","No Information Available","Poor Product Quality","3",770,275
"29494",23,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",13,677.66,15953.74,10,803.190788631692,"Yes","Yes","No","Not Applicable","Too many ads","5",967,311
"29496",63,"F","City","Platinum Membership","No","Without Offers","Smartphone","Mobile_Data",19,475.29,18954.77,10,1273.34046725046,"Yes","No","No","Not Applicable","Products always in Stock","2",424,456
"29497",46,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",22,33.11,22693.88,29,662.16,"Yes","No","Yes","Solved in Follow-up","Poor Website","4",306,511
"29501",14,"F","Town","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",17,45.74,44489.26,11,703.41,"Yes","No","Yes","Solved in Follow-up","Poor Website","3",998,395
"29502",62,"M","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",11,31.43,36584.93,15,681.43,"Yes","No","No","Not Applicable","Poor Customer Service","5",945,245
"29503",61,"M","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",23,142.78,29994.01,11,718.36,"Yes","No","No","Not Applicable","Poor Customer Service","3",988,548
"29504",64,"F","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",17,59.78,32181.96,6,633.55,"No","Yes","No","Not Applicable","No reason specified","4",366,395
"29505",20,"F","Village","Gold Membership","Yes","Without Offers","Desktop","Mobile_Data",6,269.27,37088.06,6,649.23,"Yes","Yes","Yes","Solved","Poor Website","4",576,123
"29507",50,"F","City","Silver Membership","Yes","Without Offers","Desktop","Fiber_Optic",6,32.27,18081.48,21,718.33,"Yes","No","Yes","Solved","No reason specified","3",891,136
"29508",54,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",9,43.18,73462.12,1,789.46,"Yes","No","No","Not Applicable","Quality Customer Care","1",971,205
"29512",25,"M","Town","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",23,32.99,13968.18,22,559.85,"Yes","No","No","Not Applicable","No reason specified","5",717,544
"29515",25,"M","City","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",15,42.6,31998.98,21,707.48,"No","Yes","Yes","Unsolved","Poor Website","4",591,348
"29516",64,"M","City","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",13,1215.06,2830.2,9,717.38,"Yes","Yes","Yes","Solved in Follow-up","No reason specified","4",836,291
"29517",29,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",8,205.52,14819.78,17,547.09,"Yes","No","Yes","No Information Available","Too many ads","5",297,192
"29518",40,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",15,31.5,30275.12,15,742.59,"Yes","No","No","Not Applicable","Too many ads","3",106,360
"29519",23,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",9,207.55,37808.91,14,478.327194536992,"Yes","Yes","Yes","Solved in Follow-up","No reason specified","3",386,216
"29524",56,"F","Village","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",10,176.04,16155.35,9,518.63,"Yes","No","Yes","No Information Available","Poor Product Quality","5",632,219
"29525",55,"M","Town","No Membership","No","Without Offers","Smartphone","Wi-Fi",6,89.91,20357.35,45.929999468024,625.72,"No","Yes","No","Not Applicable","Too many ads","5",634,133
"29526",54,"F","City","Premium Membership","Yes","Without Offers","Smartphone","Wi-Fi",14,316.92,42450.37,24,718.85,"Yes","No","No","Not Applicable","Poor Product Quality","3",1070,323
"29527",38,"M","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",17,1541.42607990881,34856.5,2,503.957352898972,"No","Yes","No","Not Applicable","Products always in Stock","1",273,406
"29529",57,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",17,195.16,84951.01,15,729.32,"No","Yes","Yes","Unsolved","User Friendly Website","2",229,385
"29531",47,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",22,162.13,4686.76,16,596,"Yes","No","Yes","No Information Available","Poor Website","5",1076,512
"29533",49,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",17,156.58,22609.5,12,647.99,"No","Yes","Yes","No Information Available","No reason specified","4",746,405
"29534",44,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",17,36.01,20708.65,25,551.85,"No","Yes","Yes","Unsolved","Poor Website","5",701,398
"29535",42,"F","City","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",10,172.84,15960.99,9,601.83,"Yes","No","Yes","No Information Available","Too many ads","5",866,230
"29537",34,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",10,655.69,36567.2,8,845.657991860612,"Yes","Yes","No","Not Applicable","Poor Product Quality","5",520,223
"29541",16,"M","City","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",10,294.13,3228.85,7,633.57,"Yes","No","No","Not Applicable","Too many ads","4",1045,230
"29543",10,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",22,103.21,58819.02,19,837.45,"No","Yes","Yes","Solved in Follow-up","Quality Customer Care","1",248,527
"29544",15,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",19,126.37,21928.97,8,700.2,"No","Yes","No","Not Applicable","Too many ads","3",86,439
"29545",51,"M","Town","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",4,495.6,24731.22,21,628.77,"No","Yes","No","Not Applicable","Poor Customer Service","4",86,89
"29550",54,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",25,378.13,32743.98,20,618.16,"Yes","No","No","Not Applicable","Too many ads","4",318,585
"29551",17,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",17,105.32,30175.73,12,729.03,"No","Yes","No","Not Applicable","No reason specified","3",91,404
"29555",36,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",5,626.95,69545.12,8,791.71,"Yes","Yes","Yes","Solved in Follow-up","Quality Customer Care","2",1014,115
"29556",37,"F","City","Gold Membership","No","Without Offers","Both","Mobile_Data",19,250.19,11148.57,14,736.92,"Yes","No","Yes","Solved in Follow-up","Poor Website","3",480,434
"29557",47,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",6,328.55,29004.72,12,639.76,"No","Yes","No","Not Applicable","Poor Customer Service","4",473,144
"29558",59,"F","City","Platinum Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",14,461.67,24445.63,14,746.74,"Yes","No","Yes","Unsolved","Poor Website","3",268,327
"29559",52,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,252.44,8252.6,6,666.53,"Yes","Yes","No","Not Applicable","No reason specified","4",241,331
"29560",46,"M","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",11,86.61,67534.64,5,720.2,"Yes","No","No","Not Applicable","Products always in Stock","2",572,258
"29561",15,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",9,31.65,29832.09,16,578.5,"Yes","No","No","Not Applicable","Too many ads","5",974,201
"29563",45,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",10,151.25,19032.96,21,749.07,"Yes","No","Yes","Solved in Follow-up","Too many ads","3",846,226
"29565",50,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",21,33.94,27729.53,44.2944169867983,770.51,"Yes","No","No","Not Applicable","Poor Customer Service","3",776,484
"29567",19,"F","Village","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",3,1254.13,41180.88,14,527.66,"Yes","No","No","Not Applicable","No reason specified","5",884,62
"29571",14,"M","Town","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",24,222.72,2059.41,7,1058.45963671498,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",541,555
"29572",51,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",12,265.8,25033.78,29,695.37,"No","Yes","Yes","Solved","Poor Customer Service","5",1077,275
"29578",37,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",20,57.13,42444.21,14,817.67,"Yes","No","Yes","No Information Available","User Friendly Website","1",212,458
"29579",20,"F","Town","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",4,41.05,1162.9,19,705.23,"Yes","No","No","Not Applicable","Poor Website","3",265,94
"29580",26,"M","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",19,96.51,16042.32,14,1183.02305577144,"No","Yes","Yes","No Information Available","User Friendly Website","1",1091,440
"29581",61,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",19,134.99,23018.77,27,641.65,"Yes","No","Yes","No Information Available","Poor Website","5",231,451
"29583",56,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",11,287.1,47391.56,21,715.88,"Yes","No","No","Not Applicable","Poor Product Quality","3",80,263
"29584",17,"F","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",16,44.42,30312.97,17,689.81,"Yes","No","Yes","Solved","Too many ads","5",195,370
"29587",24,"F","Village","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",15,170.2,35270.54,11,788.3,"No","Yes","No","Not Applicable","Poor Customer Service","3",983,340
"29589",43,"M","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",9,34.8,32754.3,5,644.99,"Yes","No","No","Not Applicable","Too many ads","4",115,211
"29590",30,"F","City","No Membership","No","Without Offers","Smartphone","Mobile_Data",15,150.73,43918.27,20,1029.40000839804,"No","Yes","No","Not Applicable","Poor Customer Service","4",534,340
"29592",11,"F","Village","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",8,289.76,41799.11,23,600.03,"Yes","No","No","Not Applicable","Poor Product Quality","4",496,176
"29594",23,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",22,85.88,27429.08,4.34896253285663,557.68,"No","Yes","Yes","Solved","Too many ads","5",199,523
"29595",41,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,56.07,8752.24,37.2140323226509,715.91,"Yes","No","No","Not Applicable","No reason specified","3",842,356
"29598",64,"F","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",8,43.13,18488.68,18,758.56,"No","Yes","Yes","No Information Available","No reason specified","3",675,179
"29599",54,"F","Town","Platinum Membership","No","Without Offers","Smartphone","Mobile_Data",17,1019.23690450068,44546.86,8,726.74,"Yes","No","Yes","Unsolved","No reason specified","3",781,406
"29603",15,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",3,388.01,15677.64,24,701.72,"Yes","No","No","Not Applicable","Too many ads","4",131,53
"29604",27,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",10,441.15,30183.16,26,694.37,"Yes","No","No","Not Applicable","Poor Customer Service","4",331,233
"29605",38,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",12,1060.46,48129.77,9,908.612815774879,"Yes","Yes","No","Not Applicable","No reason specified","5",168,278
"29607",40,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",7,36.93,41650.45,2,727.62,"No","Yes","No","Not Applicable","Quality Customer Care","2",577,146
"29608",23,"F","Village","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",2,195.41,53190.11,6,782.08,"No","Yes","No","Not Applicable","Products always in Stock","1",165,35
"29610",36,"M","City","Platinum Membership","No","Without Offers","Both","Mobile_Data",18,323.09,57729.67,15,438.624717700292,"Yes","No","No","Not Applicable","Reasonable Price","2",96,428
"29616",52,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",18,64.77,46256.49,7,792.61,"No","Yes","Yes","Solved in Follow-up","Too many ads","3",345,431
"29617",39,"M","City","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",12,97.71,48154.83,29,555.58,"No","Yes","No","Not Applicable","Poor Website","5",604,274
"29618",57,"M","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",16,138.4,21542.88,5,697.79,"No","Yes","No","Not Applicable","Poor Website","4",81,368
"29620",14,"F","Village","No Membership","Yes","Without Offers","Desktop","Wi-Fi",12,127.59,20154.98,21,682.27,"No","Yes","No","Not Applicable","No reason specified","5",0,274
"29621",11,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",23,173.09,35250.42,17,636.97,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","5",778,535
"29625",25,"F","Village","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",10,245.58,39825.19,26,658.85,"No","Yes","No","Not Applicable","Poor Product Quality","5",444,221
"29628",51,"F","Town","Gold Membership","No","Without Offers","Smartphone","Wi-Fi",10,142.66,24424.33,18,669.77,"Yes","No","No","Not Applicable","No reason specified","4",533,218
"29630",53,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",3,884.25,39239.01,19,798.3,"Yes","Yes","No","Not Applicable","Poor Website","3",375,49
"29634",15,"F","Town","Gold Membership","No","Without Offers","Desktop","Wi-Fi",17,158.79,6189.87,7,762.31,"No","Yes","Yes","No Information Available","Too many ads","3",232,391
"29638",22,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",10,35.11,47259.22,20,989.805749482895,"Yes","No","No","Not Applicable","Poor Customer Service","5",467,233
"29640",16,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",17,48.1,2905.65,18,636.29,"No","Yes","No","Not Applicable","Too many ads","4",714,391
"29642",46,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",20,671.43,29910.91,5,755.56,"Yes","Yes","Yes","No Information Available","Poor Customer Service","3",702,479
"29643",16,"M","Town","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",12,119.54,37651.28,9,531.57,"No","Yes","No","Not Applicable","Poor Customer Service","5",189,282
"29644",60,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",24,146.95,42862.5,18,730.79,"Yes","No","Yes","No Information Available","Poor Website","3",663,569
"29645",44,"F","Town","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",11,32.37,15628.64,18,1038.80310191639,"Yes","No","No","Not Applicable","Poor Customer Service","4",882,261
"29647",36,"M","Village","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",12,34.62,35146.29,25,733.53,"No","Yes","No","Not Applicable","Poor Customer Service","3",574,273
"29648",46,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",20,75.29,37705.64,22,609.88,"Yes","No","Yes","Unsolved","Poor Customer Service","5",1001,461
"29649",25,"M","Town","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",15,86.47,17078.53,28,662.19,"No","Yes","No","Not Applicable","Poor Product Quality","5",883,346
